,hits,n_iter,frac_confirmada,veredicto
cum_feed_CaO_kg_prev,25,25,1.0,CONFIRMADA
cum_o2_nm3_prev,25,25,1.0,CONFIRMADA
log_ratio_sn_sio2_prev,25,25,1.0,CONFIRMADA
oxidante_sobre_carga_total,25,25,1.0,CONFIRMADA
posicion_vertical_lanza_mm,25,25,1.0,CONFIRMADA
volumen_o2_inyectado_lanza_escalon_nm3,25,25,1.0,CONFIRMADA
volumen_aire_inyectado_lanza_escalon_nm3,25,25,1.0,CONFIRMADA
interaccion_C_x_Sn_prev,25,25,1.0,CONFIRMADA
interaccion_Sn_x_FeO_prev,25,25,1.0,CONFIRMADA
lanza_pos_x_gas_total,25,25,1.0,CONFIRMADA
delta_tiempo,25,25,1.0,CONFIRMADA
ley_sn_escoria_pct_prev,25,25,1.0,CONFIRMADA
feed_Sn_kgf,25,25,1.0,CONFIRMADA
feed_Carbon_kgh,25,25,1.0,CONFIRMADA
cum_gn_nm3_prev,24,25,0.96,CONFIRMADA
ratio_sn_sio2_prev,24,25,0.96,CONFIRMADA
log_ratio_sn_feo_prev,23,25,0.92,CONFIRMADA
o2_disponible_nm3,23,25,0.92,CONFIRMADA
feed_total_kgh,23,25,0.92,CONFIRMADA
cum_feed_dross_Fe_kg_prev,22,25,0.88,CONFIRMADA
cum_feed_Fe_kg_prev,20,25,0.8,CONFIRMADA
interaccion_lanza_x_gn,19,25,0.76,CONFIRMADA
o2_teorico_combustion_nm3,19,25,0.76,CONFIRMADA
feed_CaO_kgh,18,25,0.72,CONFIRMADA
cum_feed_Sn_kg_prev,18,25,0.72,CONFIRMADA
cum_aire_nm3_prev,17,25,0.68,CONFIRMADA
carbon_sobre_inventario_sn_prev,17,25,0.68,CONFIRMADA
cum_feed_Carbon_kg_prev,16,25,0.64,CONFIRMADA
carga_termica_relativa,15,25,0.6,TENTATIVA
tasa_feed_Sn_kg_min,13,25,0.52,TENTATIVA
ratio_sn_feo_prev,11,25,0.44,TENTATIVA
volumen_gas_natural_inyectado_lanza_escalon_nm3,10,25,0.4,RECHAZADA
ley_fe_total_escoria_pct_prev,10,25,0.4,RECHAZADA
grad_posicion_vertical_lanza_mm,9,25,0.36,RECHAZADA
ley_feo_escoria_pct_prev,8,25,0.32,RECHAZADA
tasa_feed_total_kg_min,8,25,0.32,RECHAZADA
feed_dross_Fe_kgh,6,25,0.24,RECHAZADA
posicion_vertical_lanza_mm_prev,5,25,0.2,RECHAZADA
margen_presion_gn,4,25,0.16,RECHAZADA
tasa_o2_nm3_min,3,25,0.12,RECHAZADA
feed_Fe_kgh,3,25,0.12,RECHAZADA
indice_severidad_reductora,3,25,0.12,RECHAZADA
grad_presion_suministro_o2_lanza_kpa,3,25,0.12,RECHAZADA
basicidad_B4_prev,3,25,0.12,RECHAZADA
tasa_feed_Carbon_kg_min,2,25,0.08,RECHAZADA
interaccion_B2_x_temp_prev,2,25,0.08,RECHAZADA
interaccion_FeO_x_B2_prev,2,25,0.08,RECHAZADA
tasa_gn_nm3_min,2,25,0.08,RECHAZADA
tasa_aire_nm3_min,2,25,0.08,RECHAZADA
presion_suministro_o2_lanza_kpa,2,25,0.08,RECHAZADA
oxygen_enrichment_pct,2,25,0.08,RECHAZADA
total_process_gas_nm3_min,1,25,0.04,RECHAZADA
tiro_horno_pct_prev,1,25,0.04,RECHAZADA
ratio_feo_sio2_prev,1,25,0.04,RECHAZADA
d_presion_suministro_o2_lanza_kpa,1,25,0.04,RECHAZADA
grad_temperatura_horno_celsius_prev,1,25,0.04,RECHAZADA
exceso_C_estequiometrico_pct,1,25,0.04,RECHAZADA
tasa_feed_CaO_kg_min,1,25,0.04,RECHAZADA
tasa_feed_dross_Fe_kg_min,1,25,0.04,RECHAZADA
temperatura_gas_pre_bhf_celsius_prev,1,25,0.04,RECHAZADA
interaccion_C_x_FeO_prev,1,25,0.04,RECHAZADA
interaccion_C_x_exceso_o2,1,25,0.04,RECHAZADA
ley_cao_escoria_pct_prev,1,25,0.04,RECHAZADA
relacion_C_carga,1,25,0.04,RECHAZADA
tasa_feed_Fe_kg_min,1,25,0.04,RECHAZADA
basicidad_B2_prev,0,25,0.0,RECHAZADA
d_posicion_vertical_lanza_mm,0,25,0.0,RECHAZADA
d_presion_suministro_gn_lanza_kpa,0,25,0.0,RECHAZADA
exceso_o2_combustion_pct,0,25,0.0,RECHAZADA
grad_presion_suministro_gn_lanza_kpa,0,25,0.0,RECHAZADA
indice_estructural_molar_prev,0,25,0.0,RECHAZADA
ley_sio2_escoria_pct_prev,0,25,0.0,RECHAZADA
interaccion_C_x_temp_prev,0,25,0.0,RECHAZADA
relacion_CaO_carga_Fe,0,25,0.0,RECHAZADA
presion_punta_lanza_kpa_prev,0,25,0.0,RECHAZADA
orden_escalon_fase,0,25,0.0,RECHAZADA
relacion_C_cum_Sn_cum_prev,0,25,0.0,RECHAZADA
presion_suministro_gn_lanza_kpa,0,25,0.0,RECHAZADA
temperatura_horno_celsius_prev,0,25,0.0,RECHAZADA
